화장시설,서울특별시,서울특별시,서울시립승화원,경기도 고양시 덕양구 통일로 504 서울시립승화원 (대자동 178-1),031-960-0236,031-964-8772,www.sisul.or.kr/memorial,188,공설,23,설치,설치,설치,설치,설치
화장시설,전라남도,목포시,목포추모공원,전라남도 목포시 고하대로 1140-41 (대양동),061-272-0095,061-278-0095,www.mokpopark.com,333,공설,7,설치,설치,설치,설치,미설치
화장시설,강원특별자치도,정선군,정선하늘터,강원특별자치도 정선군 사북읍 소금강로 3500-34 (사북리),033-560-3460,033-592-2847,www.jsimc.or.kr/layout/basic/page/page2/page06.html,16,공설,2,설치,미설치,설치,설치,미설치
화장시설,광주광역시,광주광역시,광주영락공원,광주광역시 북구 영락공원로 170 (효령동),062-572-4384,062-572-1702,www.cyberyoungrak.or.kr/main/,755,공설,11,설치,설치,설치,설치,미설치
화장시설,전북특별자치도,정읍시,서남권추모공원,전북특별자치도 정읍시 감곡면 정읍북로 1850 (통석리),063-539-6726,063-538-6517,www.jeongeup.go.kr/index.jeongeup?menuCd=DOM_000000103016002000,10,공설,5,설치,설치,설치,설치,설치
화장시설,경상북도,포항시,포항시립구룡포화장장,"경상북도 포항시 남구 구룡포읍 구룡포길39번길 64 (구룡포리, 구룡포화장장)",054-270-5960,054-270-6911,null,null,공설,1,미설치,미설치,미설치,미설치,미설치
화장시설,울산광역시,울산광역시,울산하늘공원,울산광역시 울주군 삼동면 보삼길 550 (조일리),052-255-3800,052-255-3809,www.uic.or.kr/skypark/,419,공설,10,설치,설치,설치,설치,설치
화장시설,경상북도,영주시,영주시화장장,"경상북도 영주시 조와로 48-186 (고현동, 영주시립화장장)",054-639-4878,054-631-9473,https://www.yeongju.go.kr/open_content/main/page.do?mnu_uid=11626&,10,공설,2,미설치,미설치,설치,미설치,미설치
화장시설,경기도,용인시,용인 평온의 숲(나래원),"경기도 용인시 처인구 이동읍 평온의숲로 77 (어비리, 용인평온의숲)",031-329-5900,031-329-5904,www.tranquil-forest.or.kr,661,공설,12,설치,설치,설치,설치,설치
화장시설,경기도,수원시 영통구,수원시연화장 승화원,"경기도 수원시 영통구 광교호수로 278 (하동, 수원시연화장)",031-218-6500,031-240-2819,www.suwonudc.co.kr/suwonyhj,400,공설,9,미설치,미설치,설치,설치,설치
화장시설,충청북도,충주시,충주시시설관리공단,충청북도 충주시 목벌길 256 (목벌동),043-830-9444,043-851-9466,www.cjfmc.or.kr/www/contents.do?key=91,10,공설,6,설치,설치,설치,설치,미설치
화장시설,전북특별자치도,군산시,군산시승화원,"전북특별자치도 군산시 임피면 서원석곡로 436-34 (보석리, 승화원)",063-454-7950,063-453-4056,null,10,공설,5,미설치,설치,설치,설치,미설치
화장시설,전북특별자치도,익산시,익산하늘공원정수원,"전북특별자치도 익산시 무왕로 1471-63 (석왕동, 익산공원묘지)",063-859-3840,063-859-3868,null,10,공설,5,미설치,미설치,설치,미설치,미설치
화장시설,경기도,화성시,화성함백산추모공원(화장),경기도 화성시 효행구 매송면 서해로 2448-32 (숙곡리),031-240-9200,031-240-9277,https://hbmhuorkr/hambaeksan,100,공설,13,설치,설치,설치,설치,미설치
화장시설,경상남도,창원시,창원시립마산화장장,경남 창원시 마산합포구 진동면  공원묘원로 232 마산화장장,055-712-0224,055-712-0228,www.cwsisul.or.kr/_masanch/_sub01/sub01_01.html,null,공설,3,설치,설치,설치,설치,미설치
화장시설,경상남도,밀양시,밀양시공설화장시설,경상남도 밀양시 북성로7길 59 (교동 476-1번지),055-359-4634,055-354-7333,www.myfmc.or.kr/sub/04_01.php,50,공설,3,미설치,미설치,설치,설치,설치
화장시설,강원특별자치도,인제군,인제 하늘내린도리안,강원특별자치도 인제군 남면 자작나무숲길 444-62 (남전리),033-462-6989,033-460-2058,www.inje.go.kr/portal/field-info/welfare,null,공설,3,설치,설치,설치,설치,미설치
화장시설,경상남도,함안군,함안하늘공원(화장시설),경상남도 함안군 가야읍 함마대로 1145  함안하늘공원,055-585-7182,055-585-7185,hamanhaneul.or.kr/,88,공설,4,설치,미설치,설치,설치,설치
화장시설,경상남도,진주시,진주시안락공원,"경상남도 진주시 진산로 141-42 (장재동, 진주시안락공원)",055-759-3672,055-759-3681,www.jinju.go.kr/00134/00614/00753.web,80,공설,7,설치,미설치,설치,설치,미설치
화장시설,경기도,성남시,성남시장례문화사업소,경기 성남시 중원구 순암로 787 (갈현동112),031-754-2268,031-721-4357,www.seongnam.go.kr/city/1001267/10852/contents.do,null,공설,15,설치,설치,설치,설치,미설치
화장시설,전라남도,해남군,남도광역추모공원,전라남도 해남군 황산면 호교길 241-250(원호리),061-530-5141,061-530-5582,namdo.haenam.go.kr/,189,공설,4,설치,설치,설치,설치,설치
화장시설,대구광역시,대구광역시,대구명복공원,대구광역시 수성구 달구벌대로541길 47 (고모동),053-743-3880,053-742-6679,08.dpfc.or.kr/,126,공설,11,설치,설치,설치,설치,설치
화장시설,강원특별자치도,강릉시,솔향하늘길,강원특별자치도 강릉시 사천면 청솔공원길 292-55 (석교리),033-660-3858,033-640-4758,www.gn.go.kr/www/contents.do?key=404,20,공설,6,설치,설치,설치,설치,미설치
화장시설,경상북도,구미시,구미시추모공원,경상북도 구미시 옥성면 추모공원로 81 (농소리),054-480-2320,054-481-3050,www.gmuc.or.kr/sisul/index.do,126,공설,7,설치,설치,설치,설치,설치
화장시설,강원특별자치도,원주시,원주추모공원 화장장,"강원특별자치도 원주시 흥업면 복술길 33 (사제리, 원주추모공원화장장)",033-749-4870,033-746-4017,wfmc.wonju.go.kr/sports/contents.do?key=4904&,70,공설,7,설치,설치,설치,설치,미설치
화장시설,전라남도,곡성군,(재)아름다운 청계공원 화장시설,"전라남도 곡성군 곡성읍 신기리 167,168 번지",061-362-1199,null,https://061-362-1199.ezbuilder.co.kr/,null,사설,1,설치,설치,설치,설치,설치
화장시설,경상남도,김해시,김해추모의공원,경상남도 김해시 주촌면 서부로1637번길 574 (덕암리),055-337-3946,055-337-4076,www.gimhaememorialpark.or.kr/,10,공설,6,미설치,미설치,설치,미설치,미설치
화장시설,경상남도,고성군,고성군공설화장장,경남 고성군 상리면 자은리 산85-1,055-670-2923,055-674-7792,null,null,공설,2,미설치,설치,설치,설치,미설치
화장시설,경상북도,포항시,포항시우현화장장,포항시 북구 소티재로 69-12(우현동),054-270-5815,054-241-5016,null,50,공설,3,미설치,설치,설치,설치,미설치
화장시설,충청남도,공주시,공주나래원,"충청남도 공주시 이인면 삼배실길 70 (운암리, 나래원)",041-840-8980,041-840-3787,www.gongju.go.kr/naraewon/index.do,297,공설,5,설치,설치,설치,설치,설치
화장시설,제주특별자치도,제주시,양지공원,제주특별자치도 제주시 516로 2810-31 (영평동),064-702-4065,064-702-4066,www.jeju.go.kr/wel/burial/facInfo/yangji/facInfo.htm,180,공설,8,설치,설치,설치,설치,설치
화장시설,경상북도,울릉군,울릉하늘섬공원,경상북도 울릉군 서면 태하령길 314 (남서리),054-791-1888,054-791-1888,null,5,공설,2,미설치,미설치,설치,미설치,미설치
화장시설,강원특별자치도,동해시,동해삼척 공동화장장(승화원),"강원특별자치도 동해시 강원남부로 4589 (단봉동, 동해시하늘정원)",033-522-1451,033-530-2735,www.dh.go.kr/www/contents.do?key=740,10,공설,3,미설치,미설치,설치,미설치,미설치
화장시설,세종특별자치시,세종특별자치시,은하수공원 해님의집(화장장),"세종특별자치시 정안세종로 1527 (산울동, 은하수공원)",044-850-1330,044-863-0761,www.sjfmc.or.kr/eunhasu.do,224,공설,10,설치,설치,설치,설치,설치
화장시설,경상북도,의성군,의성군공설화장장,경상북도 의성군 의성읍 의성길안로 287-29 (중리리),054-833-1103,054-834-1103,www.usc.go.kr/facility/tabBoard/view.tc?mn=2414&pageSeq=1640&tabBoardSeq=34,10,공설,4,미설치,미설치,설치,설치,미설치
화장시설,전북특별자치도,전주시 완산구,전주시승화원,"전북특별자치도 전주시 완산구 콩쥐팥쥐로 1705-138 (효자동3가, 전주승화원)",063-239-2690,063-237-0094,www.jjss.or.kr/index.9is?contentUid=ff8080816c5f9de6016cb28ed2740026,50,공설,8,설치,설치,설치,설치,설치
화장시설,전라남도,광양시,광양시화장장,전라남도 광양시 광양읍 직동1길 300 (죽림리),061-762-4449,061-762-4494,cemetery.gwangyang.go.kr,10,공설,5,설치,미설치,설치,설치,미설치
화장시설,경상북도,문경시,문경예송원,경상북도 문경시 유곡불정로 239-39 (불정동),054-550-6507,054-553-3270,www.gbmg.go.kr/portal/contents.do?mId=0404060100,22,공설,3,미설치,미설치,설치,설치,설치
화장시설,인천광역시,인천광역시,인천가족공원 승화원,인천광역시 부평구 평온로 61 (부평동),032-456-2320,032-456-2324,www.insiseol.or.kr/life/family,203,공설,20,설치,설치,설치,설치,설치
화장시설,서울특별시,서울특별시,서울추모공원,서울특별시 서초구 양재대로12길 74 (원지동),02-3498-2581,02-3498-2593,www.sisul.or.kr/memorial,140,공설,11,설치,설치,설치,설치,설치
화장시설,경상남도,통영시,통영시추모공원,경상남도 통영시 장대길 115 (정량동),055-650-4883,055-650-4299,www.tongyeong.go.kr/00973/00979/01046.web,46,공설,4,미설치,미설치,설치,미설치,미설치
화장시설,대전광역시,대전광역시,대전시정수원,대전광역시 서구 계백로1249번길 174-82 (정림동),042-610-2300,042-610-2399,www.djsiseol.or.kr/portal/sub040201_02.asp,100,공설,10,설치,설치,설치,설치,설치
화장시설,경상북도,김천시,김천시립추모공원,경상북도 김천시 봉산면 영남대로 431 (신암리),054-421-1616,054-437-1820,www.gcfmc.or.kr/gc_memorialpark/,307,공설,4,설치,설치,설치,설치,설치
화장시설,충청남도,홍성군,홍성추모공원,"충청남도 홍성군 금마면 금마로516번길 85 (봉서리, 화장장)",041-633-7780,041-630-9597,choomo.hongseong.go.kr,227,공설,8,설치,설치,설치,설치,미설치
시설종류,시도,시군구,시설명,주소,전화번호,팩스번호,홈페이지,주차대수,공설/사설,안치가능여부,식당,매점,주차장,유족대기실,장애인편의시설
자연장지시설,충청북도,청주시,정음사원추모관,충청북도 청주시 서원구 3순환로644번길 33 (죽림동),043-233-0924,null,null,null,사설,50,미설치,미설치,미설치,미설치,미설치
자연장지시설,전라남도,보성군,늘푸른수목장,전라남도 보성군 노동면 평동로 877-14 (옥마리),061-852-7879,null,www.nllpoorn.com,50,사설,0,미설치,미설치,설치,설치,미설치
자연장지시설,충청남도,공주시,(재)성모성심수도회 자연장지,충청남도 공주시 신풍면 봉갑리 356-15,041-841-1135,null,null,0,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,경상남도,밀양시,(재)만어추모공원 수목장,경상남도 밀양시 삼랑진읍 단장로 439 (우곡리),055-356-4979,055-356-4939,www.maneopark.com,100,사설,0,설치,설치,설치,설치,미설치
자연장지시설,경기도,김포시,김포시추모공원 자연장지,경기도 김포시 통진읍 애기봉로571번길 165 (귀전리),031-983-3960,null,null,10,공설,1130.0,미설치,미설치,설치,설치,미설치
자연장지시설,전북특별자치도,진안군,사랑하는 우리교회 자연장지,전북특별자치도 진안군 정천면 월평리 219-3,063-275-7767,null,null,0,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,전라남도,보성군,옥마기도회,전라남도 보성군 노동면 평동로 877-14 (옥마리),061-852-7811,null,null,50,사설,100,미설치,미설치,설치,미설치,미설치
자연장지시설,경상북도,경주시,대원사추모공원 자연장지,"경상북도 경주시 양남면 명주길 864-5 (효동리, 대원사)",054-743-1945,null,www.daeonesa.com,null,사설,0,설치,미설치,설치,설치,설치
자연장지시설,경기도,양주시,경신하늘뜰공원 자연장지,"경기도 양주시 남면 화합로430번길 98 (경신리, 경신하늘뜰공원)",031-861-5716,null,https://www.yangju.go.kr/www/contents.do?key=503,10,공설,2500.0,미설치,설치,설치,설치,설치
자연장지시설,대구광역시,달성군,대한불교조계종 남지장사,"대구광역시 달성군 가창면 남지장사길 95 (우록리, 남지장사)",053-768-9920,053-768-3334,namgijangsa.or.kr,50,사설,0,미설치,미설치,설치,설치,미설치
자연장지시설,전북특별자치도,전주시 완산구,대한예수교장로회 효자수목원,"전북특별자치도 전주시 완산구 콩쥐팥쥐로 1705-31 (효자동3가, 효자추모관)",063-228-6811,null,www.hyojas.com/,100,사설,2570.0,미설치,미설치,설치,설치,설치
자연장지시설,충청북도,제천시,제천시영원한쉼터 자연장지,충청북도 제천시 송학면 송학주천로9길 122 (포전리),043-644-6613,043-642-0240,www.okjc.net/welfare/contents.do?key=771,150,공설,7000.0,미설치,설치,설치,설치,설치
자연장지시설,경상북도,김천시,김천시립추모공원(자연장지),경상북도 김천시 봉산면 영남대로 431 (신암리),054-421-1621,054-437-1820,https://www.gcfmc.or.kr/gc_memorialpark/main.tc,307,공설,307,설치,미설치,설치,설치,미설치
자연장지시설,광주광역시,광산구,목자은혜교회,광주광역시 광산구 송학동 424-1,062-449-4446,null,blog.naver.com/888time,10,사설,0,미설치,미설치,설치,설치,미설치
자연장지시설,충청남도,서산시,서산시 희망공원(자연장지),충청남도 서산시 인지면 무학재2길 106 (산동리),041-660-2719,041-669-2719,null,null,공설,22534.0,미설치,미설치,설치,설치,미설치
자연장지시설,전라남도,영광군,영광군 공설추모공원 자연장지,전라남도 영광군 군남면 광암로 174,061-351-9870,061-351-9875,null,null,공설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,경상남도,사천시,사천시 누리원(자연장지),"경상남도 사천시 해안관광로 208-66 (송포동, 사천공설화장장)",055-831-4590,055-831-6529,https://www.youthsacheon.com/funeral_main.html,5,공설,20000.0,미설치,미설치,설치,미설치,미설치
자연장지시설,전라남도,무안군,지구촌교회 자연장지,전라남도 무안군 몽탄면 달산리 산257-17,null,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,전북특별자치도,고창군,홍연암 자연장지,전북특별자치도 고창군 고수면 신기길 34 (은사리),063-563-3787,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,전라남도,함평군,함평중앙교회 부활동산,전라남도 함평군 함평읍 옥산리 242-9,061-324-2369,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,경기도,양평군,(사)씨앤에이미션 자연장지,경기도 양평군 양동면 다락근이길 57-18 (단석리),031-775-6945,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,경기도,화성시,화성함백산추모공원 바람마루,경기도 화성시 효행구 매송면 서해로 2448-32 (숙곡리),031-240-9200,031-240-9277,null,null,공설,0,미설치,미설치,설치,미설치,미설치
자연장지시설,충청남도,공주시,공주나래원 자연장지,"충청남도 공주시 이인면 삼배실길 70 (운암리, 나래원)",041-840-8980,null,https://www.gongju.go.kr/naraewon/sub02_04.do,297,공설,3340.0,설치,설치,설치,설치,설치
자연장지시설,강원특별자치도,태백시,태백공원묘원 자연장지,"강원특별자치도 태백시 백두대간로 844 (창죽동, 태백공동묘지)",033-550-2844,033-550-2961,null,null,공설,2000.0,미설치,미설치,설치,미설치,미설치
자연장지시설,충청북도,음성군,수원제일교회 자연장지,충청북도 음성군 음성읍 초천리 산129-1,031-244-1004,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,전북특별자치도,고창군,고창푸른숲자연장,"전북특별자치도 고창군 신림면 왕림로 94-54 (세곡리, 고창푸른숲자연장관리사무소)",063-564-7852,063-564-7853,www.gochangpj.kr,244,공설,6922.0,미설치,미설치,설치,미설치,미설치
자연장지시설,충청남도,당진시,석문공설묘지 자연장지,"충청남도 당진시 석문면 통정1길 86-38 (삼화리, 공설묘지관리사)",041-353-5944,041-353-5944,null,null,공설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,경상북도,고령군,합동다산교회 자연장지,경상북도 고령군 성산면 기족리 산 14-4,null,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,전북특별자치도,고창군,무장녹두숲자연장,전북특별자치도 고창군 무장면 반송길 12 (고라리),063-564-6864,063-560-2299,WWW.무장녹두숲자연장.kr,300,공설,4050.0,미설치,미설치,설치,미설치,설치
자연장지시설,세종특별자치시,세종특별자치시,세종수목장,세종특별자치시 전의면 부거실길 135-11 (달전리),044-864-4746,null,www.세종수목장.com,15,사설,2395.0,미설치,미설치,설치,설치,미설치
자연장지시설,경기도,김포시,김포문수산수목장,경기도 김포시 월곶면 문수산로 8 (포내리),031-985-5155,031-998-5751,www.김포장례서비스협동조합.com,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,충청남도,보령시,보령시모란공원 자연장,"충청남도 보령시 성주면 만수로 695-14 (개화리, 모란공원사무실)",041-933-5671,null,www.brsisul.or.kr/kor/sub01_03_01.do,null,공설,3000.0,설치,설치,설치,미설치,설치
자연장지시설,경기도,용인시,약천사,"경기도 용인시 처인구 양지면 양지로63번길 9-18 (양지리, 약천사)",031-338-3362,null,null,30,사설,40,미설치,미설치,설치,설치,미설치
자연장지시설,충청남도,부여군,(재)영호추모공원 매화동산,충청남도 부여군 세도면 해촌로63번길 43-9 (수고리),041-832-7004,null,null,0,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,경기도,연천군,중앙추모공원,경기도 연천군 미산면 마유로 58-38 (백석리),031-833-7737,031-835-7737,www.하늘길.com,50,사설,0,미설치,미설치,설치,설치,미설치
자연장지시설,전북특별자치도,완주군,완주군 자연추모동산,전북특별자치도 완주군 봉동읍 우주로 270-68 (구암리),063-290-2207,null,null,10,공설,1879.0,미설치,미설치,설치,미설치,미설치
자연장지시설,경기도,양평군,북한강광명수목장,"경기도 양평군 서종면 북한강로 1138-69 (수입리, 광명사)",031-774-8969,031-774-8969,null,30,사설,600,미설치,미설치,설치,미설치,미설치
자연장지시설,강원특별자치도,횡성군,반포교회 수목장림,강원특별자치도 횡성군 갑천면 상대리 산191,02-599-1449,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,전라남도,순천시,순천시립자연장지,전라남도 순천시 용수동길 920 (삼거동),061-749-4520,061-749-4520,www.suncheon.go.kr,null,공설,3000.0,미설치,미설치,미설치,미설치,미설치
자연장지시설,충청북도,옥천군,옥천군공설자연장지,충청북도 옥천군 군서면 월전리 산19-1,043-730-3323,null,null,null,공설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,경상북도,김천시,천주교 김천공원묘원,경상북도 김천시 개령면 황계길 280-41 (황계리),054-433-3880,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,경상남도,고성군,올리베따노성베네딕도수도회,경상남도 고성군 대가면 송계1길 163-43 (송계리),055-674-1986,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,경상북도,성주군,(재)남양공원묘원 자연장지,경상북도 성주군 선남면 관용로 401-41 (오도리),054-932-4444,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,경상북도,영천시,일승종개원사 자연장지,경상북도 영천시 신녕면 장수로 2238-28 (화남리),000-000-0000,000-000-0000,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,경기도,연천군,기독교대한감리회전곡교회,경기도 연천군 전곡읍 양연로 1591-15전곡감리교회 (전곡리),031-832-3586,null,null,0,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,전라남도,해남군,남도광역추모공원(자연장),전라남도 해남군 황산면 호교길 241-250 (일신리),061-530-5141,061-530-5582,https://www.law.go.kr/자치법규/해남군남도광역추모공원의설치및운영조례/,null,공설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,전라남도,완도군,수향사 추모공원,"전라남도 완도군 고금면 고금로 667-105 (덕암리, 수향사)",--,null,null,0,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,경기도,연천군,성아우구스띠노수도회 자연장지,경기도 연천군 왕징면 왕산로 722 (동중리),031-834-1262,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,경기도,안성시,유토피아수목장,"경기도 안성시 일죽면 화곡길 130 (화곡리, 유토피아추모관)",031-673-7904,031-674-7904,www.goutopia.co.kr,500,사설,20000.0,설치,설치,설치,설치,설치
자연장지시설,경상남도,진주시,진주제일교회 수목장,경상남도 진주시 일반성면 운천리 산96,055-757-3535,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,인천광역시,옹진군,선재리공설묘지 자연장지,인천광역시 옹진군 영흥면 선재리 산32,032-899-2333,null,null,null,공설,128,미설치,미설치,미설치,미설치,미설치
자연장지시설,대구광역시,군위군,(재)신세계공원묘원(자연장지),대구광역시 군위군 효령면 녹동길 129-190 (장군리),054-382-5250,054-382-9818,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,충청북도,청주시,평안교회 자연장지,충청북도 청주시 서원구 남이면 구암리 산15-14,null,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,강원특별자치도,횡성군,원주중부교회자연장지,강원특별자치도 횡성군 안흥면 소사리  511-5,033-744-2760,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,경상남도,고성군,대한불교조계종 계승사 극락원,경상남도 고성군 영현면 대법3길 236 (대법리),055-673-0281,055-673-0287,null,15,사설,200,미설치,미설치,미설치,미설치,미설치
자연장지시설,경상북도,경주시,늘푸른교회,경상북도 경주시 강동면 단구리 산31-3,053-752-5269,null,null,0,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,충청남도,공주시,성공사 수목장림,충청남도 공주시 우성면 방문리 1022-2,041-853-3355,null,null,0,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,경상남도,거제시,신광사 수목장,"경상남도 거제시 사등면 오량2길 108 (오량리, 신광사)",055-1855-0494,null,shingwangsa.or.kr,100,사설,1000.0,설치,설치,설치,설치,미설치
자연장지시설,전라남도,함평군,실상산문종실상선원자연장,전라남도 함평군 대동면 운교리 산 79-10,02-222-5555,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,충청북도,음성군,다래원자연장지,충청북도 음성군 생극면 오신로445번길 77 (신양리),043-883-4449,null,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,전라남도,고흥군,고흥군립하늘공원 자연장,전라남도 고흥군 고흥읍 호형리 399,061-830-5643,061-830-5880,https://www.law.go.kr/자치법규/고흥군립하늘공원설치및운영조례,null,공설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,경기도,시흥시,정왕공설자연장지,경기도 시흥시 정왕동 산2-1,031-310-2264,null,null,10,공설,2015.0,미설치,미설치,설치,미설치,미설치
자연장지시설,전북특별자치도,전주시,하늘정원,전북특별자치도 전주시 완산구 콩쥐팥쥐로 1705-62 (효자동3가),063-221-4446,063-221-4447,null,null,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,강원특별자치도,강릉시,성모자애공원,강원특별자치도 강릉시 주문진읍 주문리 산44-15,033-662-9115,null,null,null,사설,120,미설치,미설치,미설치,미설치,미설치
자연장지시설,경상남도,하동군,하늘동산 자연장지,경상남도 하동군 양보면 우복리 1078-3,055-882-9190,null,null,10,사설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,강원특별자치도,횡성군,횡성군공설자연장지,강원특별자치도 횡성군 갑천면 태기로구방8길 132 (구방리),033-340-2904,033-340-2552,null,null,공설,0,미설치,미설치,미설치,미설치,미설치
자연장지시설,충청남도,태안군,천주교태안교회 공원묘지,충청남도 태안군 태안읍 터널길 26-13 (동문리),041-674-1004,null,null,null,사설,160,미설치,미설치,설치,미설치,미설치
