sido,sigungu,name,address,phone,rooms,coffins,parking,extras,type,map
경기도,광주시,곤지암장례식장,경기도 광주시 곤지암읍 경충대로 811-22 (삼리),031-766-5544,3,8,200,식당·매점·주차장·유족대기실·장애인편의시설,사설(전문),
대구광역시,중구,경북대학교병원장례식장,"대구광역시 중구 동덕로 130 (삼덕동2가, 경북대학교병원)",053-200-6464,9,16,0,식당·매점·주차장·유족대기실,사설(병원),
경상남도,함안군,함안시민장례식장,경상남도 함안군 산인면 학산2길 17-50 (송정리),055-785-4444,3,6,150,식당·매점·주차장·유족대기실,사설(병원),
전북특별자치도,임실군,임실군보건의료원장례식장,전라북도 임실군 임실읍 호국로 1680 (이도리),063-644-3190,2,2,300,주차장·유족대기실·장애인편의시설,공설(병원),
경상남도,사천시,삼천포서울병원장례식장,경상남도 사천시 남일로 33 (동금동),055-835-9944,3,6,0,주차장,사설(병원),
전북특별자치도,순창군,순창군보건의료원장례식장,"전라북도 순창군 순창읍 교성로 135 (교성리, 순창군보건의료원)",063-650-5444,2,4,116,식당·주차장·유족대기실,공설(병원),
전라남도,광양시,광양백운장례식장,전라남도 광양시 광양읍 제철로26번길 19(목성리) (광양경찰서앞),061-761-0004,3,4,100,식당·매점·주차장·유족대기실·장애인편의시설,사설(전문),
서울특별시,강동구,강동성심병원장례식장,"서울특별시 강동구 진황도로 86 (길동, 강동성심병원복합시설)",02-470-1692,8,16,330,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
전라남도,여수시,여수전남병원장례식장,"전라남도 여수시 광무1길 28-6 (광무동, 전남병원장례식장)",061-642-4444,4,6,84,식당·주차장·유족대기실·장애인편의시설,사설(병원),
경상북도,의성군,의성전문장례식장,"경상북도 의성군 의성읍 홍술로 89-49 (철파리, 의성장례식장)",054-832-4004,3,4,100,식당·매점·주차장,사설(전문),
대구광역시,수성구,한패밀리병원장례식장,대구광역시 수성구 동대구로 12 (지산동),053-760-8800,4,6,91,매점·주차장·유족대기실·장애인편의시설,사설(병원),
경기도,안산시,한도병원장례식장,경기도 안산시 단원구 선부광장로 103 (선부동),031-485-4422,5,10,0,식당·매점·주차장·유족대기실,사설(병원),
경상남도,김해시,김해복음병원장례식장,"경상남도 김해시 활천로 33,지하1층김해복음병원장례식장 (삼정동)",055-330-9999,4,4,120,식당·매점·주차장·유족대기실,사설(병원),
인천광역시,서구,인천연세병원장례식장,"인천광역시 서구 승학로 320지하장례식장 (연희동, 연세병원)",032-561-1024,2,8,50,식당·매점·주차장·유족대기실,사설(전문),
경기도,파주시,문산장례문화원장례식장,"경기도 파주시 문산읍 통일로 1677 (문산리, 문산장례문화원)",031-954-4444,5,8,200,식당·매점·주차장·유족대기실·장애인편의시설,사설(전문),
부산광역시,연제구,부산광역시의료원장례식장,"부산광역시 연제구 월드컵대로 359 (거제동, 부산의료원)",051-607-2990,10,22,512,식당·매점·주차장·유족대기실·장애인편의시설,공설(병원),
전라남도,광양시,동광양장례식장,전라남도 광양시 불로로 30-1 (성황동),061-795-7700,5,8,300,식당·매점·주차장·유족대기실·장애인편의시설,사설(전문),
서울특별시,강북구,대한병원장례식장,서울특별시 강북구 도봉로 301 (수유동),02-992-4444,5,8,50,식당·매점·주차장·유족대기실,사설(병원),
부산광역시,강서구,갑을녹산병원장례식장,"부산광역시 강서구 녹산산단321로 24-8 (송정동, 갑을녹산병원)",051-972-1024,3,4,200,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
경기도,이천시,장호원장례식장,"경기도 이천시 장호원읍 샘재로145번길 41 (장호원리, 장호원성모요양병원)",031-641-2660,2,4,20,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
경기도,성남시,분당제생병원장례식장,"경기도 성남시 분당구 서현로180번길 20 (서현동, 분당제생병원)",031-708-4444,7,12,0,식당·매점·주차장,사설(병원),
충청북도,괴산군,괴산성모병원장례식장,충청북도 괴산군 괴산읍 임꺽정로 116 (서부리),043-833-4411,2,6,150,식당·주차장·유족대기실,사설(병원),
전라남도,보성군,삼호병원장례식장,전라남도 보성군 벌교읍 남하로 12 (장좌리),061-858-4452,2,6,0,식당·주차장,사설(병원),
전북특별자치도,익산시,익산시한솔장례식장,전라북도 익산시 무왕로 1471-22 (팔봉동),063-838-7444,4,8,150,주차장,사설(전문),
세종특별자치시,세종특별자치시,세종연서농협장례식장,세종특별자치시   연서면 함박로 300 (국촌리),044-866-4444,4,6,0,주차장,사설(전문),
대구광역시,북구,문요양병원장례식장,대구광역시 북구 칠곡중앙대로 215 (태전동),053-323-4444,3,6,200,식당·주차장·유족대기실,사설(병원),
전라남도,진도군,진도군산림조합직영추모관장례식장,전라남도 진도군 진도읍 진도대로 7143-10 (쌍정리),061-543-4040,4,6,100,식당·매점·주차장,사설(전문),
전라남도,영광군,영광장례식장,전라남도 영광군 영광읍 영대로 238 (무령리),061-350-6000,4,4,200,식당·주차장·유족대기실,사설(전문),
경기도,안양시,안양장례식장,경기도 안양시 동안구 엘에스로144번길 190 (호계동),031-456-5555,10,14,500,식당·매점·주차장·유족대기실·장애인편의시설,사설(전문),
경기도,파주시,광탄현대병원장례식장,"경기도 파주시 광탄면 큰여울길 20-16 (신산리, 광탄병원)",031-947-8833,3,6,100,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
전라남도,화순군,화순전남대학교병원장례식장,"전라남도 화순군 화순읍 서양로 322 (일심리, 화순전남대학교병원)",061-379-7444,5,10,0,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
광주광역시,광산구,광주수완장례식장,광주광역시 광산구 수완로 6 (신가동),062-959-4444,7,8,500,식당·주차장·유족대기실,사설(전문),
서울특별시,강북구,서울좋은병원장례식장,서울특별시 강북구 도봉로 114 (미아동),02-984-5000,4,6,30,식당·주차장·유족대기실,사설(병원),
서울특별시,양천구,홍익병원장례식장,서울특별시 양천구 등촌로 22 (목동),02-2600-1444,5,8,100,식당·매점·주차장·유족대기실,사설(병원),
대구광역시,북구,북구한성병원장례식장,"대구광역시 북구 칠성남로30길 28,7층 (칠성동2가, 한성병원)",053-253-3444,3,6,100,매점·주차장·장애인편의시설,사설(병원),
대구광역시,북구,대구시민전문장례식장,대구광역시 북구 호국로 898 (동호동),053-324-4444,7,10,300,식당·주차장·유족대기실·장애인편의시설,사설(전문),
충청북도,괴산군,괴산동부장례식장,충청북도 괴산군 괴산읍 괴강로 144 (동부리),043-834-4040,4,6,200,식당·매점·주차장·유족대기실,사설(전문),
울산광역시,남구,좋은삼정병원장례식장,울산광역시 남구 북부순환도로 51 (무거동),052-220-7799,5,12,150,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
대구광역시,중구,운경의료재단곽병원장례식장,"대구광역시 중구 국채보상로 531 (수동, 곽병원)",053-252-1023,2,4,0,식당·매점·주차장·유족대기실,사설(병원),
전라남도,강진군,강진군산림조합추모관장례식장,전라남도 강진군 강진읍 해강로 1437 (서성리),061-430-5444,3,4,100,식당·매점·주차장·유족대기실·장애인편의시설,사설(전문),
광주광역시,북구,그린장례문화원장례식장,광주광역시 북구 하서로663번길 97 (용전동),062-250-4455,13,16,509,식당·매점·주차장·유족대기실·장애인편의시설,사설(전문),
전라남도,강진군,마량장례식장,전라남도 강진군 마량면 청자로 2340 (마량리),061-434-1111,2,4,60,식당·주차장·유족대기실,사설(전문),
인천광역시,남동구,남동스카이장례식장,"인천광역시 남동구 앵고개로697번길 41 (고잔동, 남동스카이장례식장)",032-424-1900,10,16,200,식당·주차장·유족대기실·장애인편의시설,사설(전문),
광주광역시,광산구,하남성심병원장례식장,"광주광역시 광산구 용아로 259 (산정동, 하남성심병원)",062-954-4444,3,6,250,식당·매점·주차장·유족대기실,사설(병원),
서울특별시,중랑구,서울특별시 서울의료원 장례식장,서울특별시 중랑구 신내로 156후문 (장례식장),02-2276-7671,9,40,0,식당·매점·주차장·유족대기실·장애인편의시설,공설(병원),
경상북도,경주시,미루병원장례식장,경상북도 경주시 안강읍 화전북4길 8 (산대리),054-762-4404,3,6,80,식당·주차장·유족대기실,사설(병원),
부산광역시,금정구,행림병원 장례식장,"부산광역시 금정구 중앙대로 1905(행림병원장례식장) (구서동, 행림병원)",051-582-1024,2,4,100,식당·매점·주차장·유족대기실,사설(병원),
경기도,성남시,분당차병원장례식장,"경기도 성남시 분당구 야탑로 59 (야탑동, 분당차병원)",031-780-6170,4,10,100,주차장·유족대기실,사설(병원),
전라남도,나주시,나주애향장례식장,전라남도 나주시 청동길 147 (청동),061-334-9000,4,6,200,식당·주차장·유족대기실·장애인편의시설,사설(전문),
경상남도,남해군,창선공익장례식장,경상남도 남해군 창선면 동부대로 2437-15 (동대리),055-867-4141,3,6,50,식당·매점·주차장·유족대기실·장애인편의시설,공설(전문),
대구광역시,달서구,대구기독병원장례식장,대구광역시 달서구 달구벌대로 1750 (두류동),053-627-4447,2,3,0,식당·주차장·유족대기실·장애인편의시설,사설(병원),
광주광역시,동구,전남대학교병원장례식장,"광주광역시 동구 제봉로 42 (학동, 전남대학교병원)",062-220-5049,2,10,0,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
경기도,의왕시,다사랑중앙병원장례식장,경기도 의왕시 등칙골1길 22 (오전동),031-427-4440,2,2,50,식당·매점·주차장,사설(병원),
경상남도,창원시 마산회원구,큰사랑요양병원장례식장,"경상남도 창원시 마산회원구 북성로 469 (두척동, 큰사랑요양병원)",055-231-5444,4,8,68,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
인천광역시,강화군,비에스종합병원장례식장,"인천광역시 강화군 강화읍 충렬사로 31, 비에스종합병원 별관 (남산리)",032-216-4444,5,8,500,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
부산광역시,중구,메리놀병원장례식장,부산광역시 중구 중구로 121 (대청동4가),051-465-1024,3,6,200,식당·매점·주차장·유족대기실,사설(병원),
경기도,고양시 일산동구,동국대학교일산장례식장,"경기도 고양시 일산동구 동국로 27 (식사동, 동국대학교일산병원)",031-961-9400,13,28,0,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
경상북도,영주시,영주 국화원장례식장,경상북도 영주시 신재로 167 (상줄동),054-633-4441,5,6,200,식당·매점·주차장·유족대기실·장애인편의시설,사설(전문),
전라남도,해남군,해남종합병원장례식장,"전라남도 해남군 해남읍 해남로 45 (해리, 해남종합병원)",061-533-4444,4,6,200,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
경상남도,창원시 진해구,창원시 진해구세명병원장례식장,경상남도 창원시 진해구 용원서로 42지하1층 (용원동),055-543-4064,2,4,0,주차장,사설(병원),
전북특별자치도,완주군,삼봉장례식장,전라북도 완주군 삼례읍 과학로 466 (신탁리),063-261-4445,4,6,150,식당·매점·주차장·유족대기실·장애인편의시설,사설(전문),
충청북도,충주시,탄금장례식장,충청북도 충주시 탄금대로 336 (칠금동),043-842-4444,5,5,200,식당·매점·주차장·유족대기실·장애인편의시설,사설(전문),
충청남도,당진시,합덕장례식장,"충청남도 당진시 합덕읍 합덕시장로 174-1,지하 (운산리, 서울병원)",041-363-0440,3,4,0,주차장·유족대기실,사설(병원),
울산광역시,중구,보람세민에스장례식장,울산광역시 중구 내황4길 11보람세민에스장례식장 (반구동),052-285-3905,5,8,124,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
전라남도,담양군,새마을장례식장,전라남도 담양군 담양읍 죽향문화로 287 (만성리),061-383-4444,2,4,50,식당·주차장,사설(전문),
경기도,의정부시,경기도의료원 의정부병원장례식장,"경기도 의정부시 흥선로 142 (의정부동, 경기도의정부의료원)",031-828-5444,4,10,20,식당·매점·주차장·유족대기실,공설(병원),
전라남도,담양군,담양제일장례식장,전라남도 담양군 담양읍 추성로 1198 (양각리),061-382-1111,4,6,300,식당·매점·주차장·유족대기실·장애인편의시설,사설(전문),
경상남도,의령군,의령전문장례식장,경상남도 의령군 용덕면 의합대로 510 (정동리),055-574-4040,3,6,500,식당·매점·주차장·유족대기실·장애인편의시설,사설(전문),
서울특별시,서대문구,연세대학교 신촌장례식장,"서울특별시 서대문구 연세로 50-1 (신촌동, 연세의료원)",02-2227-7500,18,40,0,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
전라남도,목포시,정다운 장례식장,전라남도 목포시 영산로 710-11 (석현동),061-287-9444,3,4,120,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
경상남도,통영시,새통영병원장례식장,"경상남도 통영시 무전7길 192 (무전동, 새통영병원)",055-645-7300,4,6,200,식당·매점·주차장·장애인편의시설,사설(병원),
경기도,파주시,파주 한빛병원 장례식장,"경기도 파주시 탄현면 평화로574번길 17 (갈현리, 파주성모병원)",031-941-4444,4,6,150,식당·매점·주차장·유족대기실,사설(병원),
경상남도,양산시,신세계병원장례식장,경상남도 양산시 월라2길 45 (덕계동),055-367-4411,3,4,100,식당·주차장·유족대기실,사설(병원),
경기도,남양주시,남양주한양병원장례식장,"경기도 남양주시 오남읍 양지로 47-55 (오남리, 남양한양병원)",031-529-4440,5,12,200,식당·주차장·유족대기실·장애인편의시설,사설(병원),
경기도,오산시,오산한국병원장례식장,"경기도 오산시 밀머리로1번길 16 (원동, 오산한국병원)",031-375-7600,4,8,300,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
전라남도,무안군,무안제일병원 무안장례식장,전라남도 무안군 무안읍 무안로 567-1 (성동리),061-454-9340,5,8,200,식당·매점·주차장·유족대기실,사설(전문),
대구광역시,북구,케이마디병원장례식장,대구광역시 북구 팔달로 217 (노원동2가),053-353-4442,2,4,150,식당·주차장·유족대기실·장애인편의시설,사설(병원),
경기도,수원시,아주대학병원장례식장,경기도 수원시 영통구 광교중앙로49번길 46 (원천동),031-219-6654,12,18,1000,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
경기도,평택시,평택시농협연합장례식장,경기도 평택시 오성면 서동대로 2427-28 (안화리),031-684-6444,7,12,253,식당·주차장·유족대기실·장애인편의시설,사설(전문),
대구광역시,달서구,선진요양병원장례식장,대구광역시 달서구 월배로 446 (송현동),053-655-1110,4,6,80,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
서울특별시,양천구,메디힐병원장례식장,서울특별시 양천구 남부순환로 331 (신월동),02-2601-7500,7,10,0,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
강원특별자치도,삼척시,삼척의료원장례식장,강원도 삼척시 오십천로 418 (남양동),033-572-1141,6,8,30,식당·주차장·유족대기실,공설(병원),
경기도,연천군,전곡효사랑병원장례식장,경기도 연천군 전곡읍 평화로 525 (전곡리),031-832-4444,5,6,120,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
서울특별시,중랑구,면목녹색병원 장례식장,"서울특별시 중랑구 사가정로49길 53장례식장 (면목동, 원진재단부설녹색병원)",02-493-4444,4,8,100,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
충청북도,보은군,보은군금강장례식장,충청북도 보은군 보은읍 남부로 4693 (강산리),043-543-0002,3,4,90,주차장·유족대기실,사설(전문),
경상북도,경주시,동국대학교경주병원장례식장,경상북도 경주시 동대로 87 (석장동),054-770-8333,5,10,640,식당·매점·주차장·유족대기실·장애인편의시설,사설(병원),
전북특별자치도,군산시,월명장례식장,전라북도 군산시 미룡갈마길 75 (신관동),063-468-4851,4,10,50,주차장·유족대기실,사설(전문),
